GEO_ID,NAME,Total population,Private school population
45001,"Abbeville County, South Carolina",5342,311
45003,"Aiken County, South Carolina",36894,3143
45005,"Allendale County, South Carolina",1735,56
45007,"Anderson County, South Carolina",46723,2668
45009,"Bamberg County, South Carolina",3926,132
45011,"Barnwell County, South Carolina",4644,214
45013,"Beaufort County, South Carolina",35835,3668
45015,"Berkeley County, South Carolina",51816,3995
45017,"Calhoun County, South Carolina",2750,622
45019,"Charleston County, South Carolina",90843,6073
45021,"Cherokee County, South Carolina",13452,866
45023,"Chester County, South Carolina",6938,155
45025,"Chesterfield County, South Carolina",10116,643
45027,"Clarendon County, South Carolina",6477,601
45029,"Colleton County, South Carolina",7960,476
45031,"Darlington County, South Carolina",15471,1887
45033,"Dillon County, South Carolina",7658,250
45035,"Dorchester County, South Carolina",41567,2891
45037,"Edgefield County, South Carolina",5744,631
45039,"Fairfield County, South Carolina",4492,439
45041,"Florence County, South Carolina",35236,2622
45043,"Georgetown County, South Carolina",12415,519
45045,"Greenville County, South Carolina",123139,11594
45047,"Greenwood County, South Carolina",17336,1262
45049,"Hampton County, South Carolina",3986,234
45051,"Horry County, South Carolina",66456,2216
45053,"Jasper County, South Carolina",5937,927
45055,"Kershaw County, South Carolina",14796,822
45057,"Lancaster County, South Carolina",19234,1307
45059,"Laurens County, South Carolina",14935,1046
45061,"Lee County, South Carolina",3590,222
45063,"Lexington County, South Carolina",69335,3288
45065,"McCormick County, South Carolina",1290,105
45067,"Marion County, South Carolina",7097,445
45069,"Marlboro County, South Carolina",5319,226
45071,"Newberry County, South Carolina",8671,251
45073,"Oconee County, South Carolina",16325,1073
45075,"Orangeburg County, South Carolina",23044,1962
45077,"Pickens County, South Carolina",38071,1716
45079,"Richland County, South Carolina",118541,5916
45081,"Saluda County, South Carolina",4115,352
45083,"Spartanburg County, South Carolina",75520,5226
45085,"Sumter County, South Carolina",27926,2858
45087,"Union County, South Carolina",5772,128
45089,"Williamsburg County, South Carolina",7078,515
45091,"York County, South Carolina",67292,2941
