County,"Total law
enforcement
employees","Total
officers","Total
civilians"
Aiken,246,136,110
Anderson,390,220,170
Beaufort,317,219,98
Berkeley,268,150,118
Calhoun,32,30,2
Charleston,722,267,455
Chester,119,49,70
Darlington,132,61,71
Dorchester,271,140,131
Edgefield,64,37,27
Fairfield,51,46,5
Florence,229,190,39
Greenville,536,439,97
Horry,365,71,294
Horry County Police Department,284,242,42
Jasper,36,31,5
Kershaw,72,59,13
Lancaster,164,112,52
Laurens,70,63,7
Lexington,437,281,156
Pickens,135,114,21
Richland,597,493,104
Saluda,62,21,41
Spartanburg,343,314,29
Sumter,135,109,26
Union,33,30,3
York,315,158,157
Abbeville,61,29,32
Allendale,14,12,2
Bamberg,13,13,0
Barnwell,64,28,36
Cherokee,92,55,37
Chesterfield,55,44,11
Clarendon,59,52,7
Colleton,109,47,62
Dillon,47,36,11
Georgetown,164,76,88
Greenwood,155,79,76
Hampton,40,33,7
Marion,59,32,27
Marlboro,25,21,4
McCormick,34,16,18
Newberry,102,51,51
Oconee,163,91,72
Orangeburg,121,85,36
Williamsburg,71,29,42
